name,duration,release_date,album_name,explicit,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,primary_emotion,emotion_confidence,happy_score,sad_score,energetic_score,relaxed_score,melancholic_score,triumphant_score,ethereal_score
When I Need A Friend,155.0,2019-11-22,Everyday Life,False,14,0.921,0.141,0.28,0.368,0.135,-18.225,0.0618,64.501,4,0.434,relaxed,0.7355475,0.3481508333333333,0.6518491666666666,0.19840333333333335,0.7355475,0.5018491666666667,0.2931016666666667,0.6897
Guns,115.08,2019-11-22,Everyday Life,True,12,0.775,0.475,0.565,0.188,0.138,-8.336,0.0326,85.25,3,0.708,happy,0.6153416666666666,0.6153416666666666,0.3846583333333334,0.43746666666666667,0.5959749999999999,0.27365833333333334,0.5512833333333333,0.5596
Orphans,197.533,2019-11-22,Everyday Life,False,32,0.0258,0.503,0.808,0.00149,0.557,-5.051,0.0451,107.973,4,0.282,energetic,0.59211,0.45157749999999997,0.5484224999999999,0.59211,0.33246749999999997,0.5832225,0.515955,0.11409999999999998
Èkó,157.866,2019-11-22,Everyday Life,False,14,0.722,0.341,0.365,0.00194,0.184,-13.871,0.0322,182.995,3,0.0486,sad,0.76134,0.23866,0.76134,0.58736,0.32722,0.61134,0.36544,0.64178
Cry Cry Cry,167.28,2019-11-22,Everyday Life,False,22,0.89,0.491,0.262,0.288,0.207,-10.458,0.0572,204.52,3,0.338,ethereal,0.6988,0.38139999999999996,0.6185999999999999,0.5648000000000001,0.4366,0.4685999999999999,0.44000000000000006,0.6988
Old Friends,146.946,2019-11-22,Everyday Life,False,27,0.943,0.476,0.18,0.235,0.138,-17.499,0.0346,134.025,5,0.236,ethereal,0.7703,0.2572875,0.7427124999999999,0.36035,0.5721375000000001,0.5927125,0.289775,0.7703
بنی آدم,194.666,2019-11-22,Everyday Life,False,14,0.758,0.393,0.301,0.764,0.161,-20.428,0.0497,140.438,3,0.0384,sad,0.8196283333333334,0.18037166666666665,0.8196283333333334,0.4224666666666666,0.4560850000000001,0.6696283333333334,0.2698233333333333,0.68102
Champion Of The World,257.546,2019-11-22,Everyday Life,False,13,0.00276,0.503,0.594,0.0102,0.109,-7.095,0.0263,108.9,4,0.168,sad,0.68025,0.31975000000000003,0.68025,0.4768,0.41435000000000005,0.58665,0.38630000000000003,0.18958000000000003
Everyday Life,258.533,2019-11-22,Everyday Life,False,29,0.775,0.512,0.452,0.0818,0.065,-8.991,0.0292,124.103,4,0.235,sad,0.6699808333333332,0.33001916666666664,0.6699808333333332,0.4631766666666667,0.4607425,0.5199808333333332,0.38163833333333336,0.6049000000000001
Flags,216.493,2019-11-22,Everyday Life,False,14,0.00107,0.55,0.796,1.18e-05,0.123,-7.262,0.0378,89.876,4,0.51,triumphant,0.5721933333333333,0.5696966666666666,0.4303033333333333,0.5485866666666668,0.42930999999999997,0.45790333333333333,0.5721933333333333,0.06373499999999999
Trouble in Town,278.906,2019-11-22,Everyday Life,False,0,0.432,0.603,0.308,0.732,0.111,-11.442,0.0291,96.032,4,0.342,sad,0.6723733333333333,0.3276266666666667,0.6723733333333333,0.3083066666666667,0.62432,0.5223733333333332,0.32005333333333336,0.4552
A Head Full of Dreams - Live in Buenos Aires,299.12,2018-12-07,Live in Buenos Aires,False,52,0.0132,0.32,0.923,0.00654,0.705,-6.33,0.136,122.756,4,0.255,energetic,0.6961866666666666,0.4821966666666666,0.5178033333333334,0.6961866666666666,0.23260999999999998,0.6216033333333334,0.5757933333333334,0.07869999999999999
Yellow - Live in Buenos Aires,350.466,2018-12-07,Live in Buenos Aires,False,55,0.000343,0.322,0.873,0.000698,0.362,-5.818,0.0639,91.033,4,0.144,melancholic,0.6996391666666666,0.3741608333333333,0.6258391666666666,0.5543433333333333,0.3147175,0.6996391666666666,0.45852166666666666,0.1094715
Every Teardrop Is a Waterfall - Live in Buenos Aires,244.306,2018-12-07,Live in Buenos Aires,False,53,0.00406,0.397,0.943,0.0,0.981,-5.619,0.0663,118.005,4,0.325,energetic,0.6973499999999999,0.5262375,0.47376250000000003,0.6973499999999999,0.24848750000000006,0.5895625000000001,0.6038749999999999,0.05413000000000001
The Scientist - Live in Buenos Aires,388.6,2018-12-07,Live in Buenos Aires,False,56,0.105,0.294,0.652,0.00196,0.378,-7.314,0.0336,75.335,4,0.167,sad,0.6914208333333333,0.3085791666666667,0.6914208333333333,0.39381666666666665,0.4690625,0.6326208333333333,0.35315833333333335,0.22349999999999998
God Put a Smile upon Your Face - Live in Buenos Aires,274.053,2018-12-07,Live in Buenos Aires,True,50,0.000615,0.345,0.967,0.000117,0.89,-4.687,0.0837,137.917,4,0.366,energetic,0.7798233333333333,0.5746308333333333,0.4253691666666667,0.7798233333333333,0.1949075,0.5555691666666667,0.6630616666666667,0.03700750000000001
Paradise - Live in Buenos Aires,419.373,2018-12-07,Live in Buenos Aires,False,53,0.00193,0.189,0.872,0.0187,0.898,-6.616,0.051,138.661,4,0.19,energetic,0.7172033333333333,0.4411508333333333,0.5588491666666666,0.7172033333333333,0.2053475,0.6320491666666667,0.5559016666666667,0.101365
Always in My Head - Live in Buenos Aires,221.2,2018-12-07,Live in Buenos Aires,False,49,0.00157,0.46,0.771,0.827,0.975,-7.872,0.0314,97.555,3,0.147,melancholic,0.6618041666666666,0.35079583333333336,0.6492041666666666,0.5253833333333334,0.35001249999999995,0.6618041666666666,0.4297916666666667,0.140085
Magic - Live in Buenos Aires,285.84,2018-12-07,Live in Buenos Aires,False,50,0.0162,0.474,0.836,0.381,0.748,-6.547,0.0618,95.544,4,0.479,triumphant,0.58524,0.56782,0.43218,0.5843799999999999,0.38894,0.48378,0.58524,0.061500000000000006
Everglow - Live in Buenos Aires,295.373,2018-12-07,Live in Buenos Aires,False,51,0.711,0.292,0.434,0.000205,0.383,-8.881,0.033,154.04,4,0.234,sad,0.6510333333333334,0.34896666666666665,0.6510333333333334,0.5538666666666666,0.39470000000000005,0.5010333333333333,0.42393333333333333,0.5785
Clocks - Live in Buenos Aires,260.2,2018-12-07,Live in Buenos Aires,False,52,0.065,0.448,0.907,0.0125,0.391,-5.253,0.0531,130.898,4,0.23,energetic,0.7128266666666667,0.4691816666666667,0.5308183333333333,0.7128266666666667,0.215255,0.6250183333333332,0.5729633333333334,0.1144
Midnight - Live in Buenos Aires,105.68,2018-12-07,Live in Buenos Aires,False,48,0.0428,0.359,0.768,0.46,0.319,-9.32,0.0431,126.99,4,0.119,melancholic,0.653175,0.35762499999999997,0.6423749999999999,0.6192,0.27232500000000004,0.653175,0.46645,0.16720000000000002
Charlie Brown - Live in Buenos Aires,284.426,2018-12-07,Live in Buenos Aires,False,51,0.00181,0.312,0.87,0.00132,0.345,-6.634,0.0503,138.03,4,0.28,energetic,0.7231000000000001,0.49402500000000005,0.505975,0.7231000000000001,0.225925,0.577975,0.5900500000000001,0.08390500000000001
Hymn for the Weekend - Live in Buenos Aires,302.946,2018-12-07,Live in Buenos Aires,False,53,0.0399,0.17,0.708,0.00945,0.354,-6.997,0.0417,89.641,4,0.251,sad,0.6122991666666666,0.38770083333333333,0.6122991666666666,0.47790333333333335,0.4220975,0.5870991666666666,0.4330016666666667,0.15735000000000002
Fix You - Live in Buenos Aires,327.466,2018-12-07,Live in Buenos Aires,False,64,0.00534,0.256,0.625,0.00386,0.179,-7.53,0.0348,140.351,4,0.201,sad,0.6249408333333332,0.37505916666666667,0.6249408333333332,0.6004366666666667,0.3268225,0.5499408333333332,0.4643183333333334,0.17497
Viva La Vida - Live in Buenos Aires,251.066,2018-12-07,Live in Buenos Aires,False,65,0.00537,0.428,0.948,1.29e-06,0.371,-4.655,0.0934,138.015,4,0.219,energetic,0.7559499999999999,0.4808124999999999,0.5191875,0.7559499999999999,0.17476250000000007,0.6379875,0.5968249999999999,0.07448500000000002
Adventure of a Lifetime - Live in Buenos Aires,306.546,2018-12-07,Live in Buenos Aires,False,52,0.00297,0.476,0.952,0.013,0.777,-5.472,0.0884,111.98,4,0.275,energetic,0.6767666666666666,0.49391666666666667,0.5060833333333333,0.6767666666666666,0.24905,0.6272833333333333,0.5774333333333334,0.06088500000000001
De Música Ligera - Live in Buenos Aires,369.306,2018-12-07,Live in Buenos Aires,False,50,0.00262,0.196,0.937,1.75e-06,0.397,-5.813,0.138,124.401,4,0.0819,melancholic,0.7282925,0.38390750000000007,0.6160925,0.6913600000000001,0.18687749999999997,0.7282925,0.5148950000000001,0.10382999999999999
